epoch,train_loss,train_xent,valid_loss,valid_xent,valid_emd,valid_xent_accuracy,valid_exp_accuracy,valid_xent_qwk,valid_exp_qwk,learning_rate,mb_time,time
1,2.375420,13.311094,1.824609,1.007882,0.085542,0.745304,0.069152,0.000000,-0.002164,0.010000,0.299758,333.784132
2,1.776893,0.940379,1.711601,0.867378,0.081597,0.745304,0.067160,0.000000,0.000000,0.010000,0.281881,326.208965
3,1.706178,0.880662,1.670501,0.841051,0.080267,0.745304,0.416335,0.000000,0.095321,0.010000,0.281865,326.333917
4,1.671427,0.851962,1.635927,0.821176,0.077800,0.745304,0.418042,0.000000,0.138815,0.010000,0.281990,329.133838
5,1.622622,0.821703,1.597906,0.784304,0.073056,0.744166,0.573990,0.048372,0.261365,0.010000,0.281686,328.647609
6,1.591956,0.828022,1.573897,0.767647,0.070854,0.746158,0.589072,0.114499,0.318766,0.010000,0.281784,328.338954
7,1.568785,0.795331,1.556870,0.766753,0.070884,0.743597,0.516221,0.226330,0.344454,0.010000,0.281936,328.476390
8,1.550266,0.801677,1.541436,0.750008,0.068223,0.754696,0.615253,0.250984,0.367037,0.010000,0.281961,328.290577
9,1.530702,0.800720,1.527237,0.748165,0.068559,0.748150,0.573990,0.270803,0.385165,0.010000,0.282114,328.449944
10,1.512967,0.787836,1.514401,0.737547,0.066818,0.757257,0.617245,0.317505,0.408741,0.010000,0.282066,328.404026
11,1.494304,0.945543,1.493143,0.810397,0.079816,0.714855,0.459590,0.384838,0.396902,0.010000,0.281916,328.485706
12,1.478122,0.785549,1.477944,0.807003,0.077180,0.717701,0.513090,0.398157,0.430303,0.010000,0.281850,328.176014
13,1.463900,0.840896,1.470757,0.740311,0.067928,0.749289,0.559476,0.414275,0.451321,0.010000,0.282103,328.306967
14,1.447635,0.828580,1.465797,0.719382,0.065341,0.760387,0.598179,0.358478,0.443033,0.010000,0.281944,328.426225
15,1.434397,0.781377,1.431991,0.694423,0.061583,0.768071,0.660785,0.408839,0.488888,0.010000,0.282657,329.308896
16,1.418034,0.787804,1.420339,0.697365,0.062108,0.767786,0.620945,0.480250,0.505052,0.010000,0.281884,328.109653
17,1.403424,0.783983,1.407840,0.679201,0.059972,0.767501,0.663347,0.455752,0.531122,0.010000,0.282150,328.402642
18,1.386374,0.807939,1.393831,0.738516,0.065191,0.768640,0.728799,0.348331,0.433472,0.010000,0.281818,328.234018
19,1.372478,0.860662,1.382407,0.677646,0.059528,0.770916,0.642003,0.522145,0.556116,0.010000,0.281641,328.595427
20,1.358968,0.711972,1.371580,0.671079,0.058546,0.776323,0.668469,0.518672,0.568004,0.010000,0.282004,328.628713
21,1.347896,0.710314,1.355480,0.752499,0.072118,0.741036,0.561184,0.484970,0.515378,0.010000,0.281959,328.310318
22,1.336093,0.706276,1.346010,0.659279,0.056811,0.783438,0.705179,0.506074,0.556771,0.010000,0.282099,328.431246
23,1.327532,0.719310,1.333563,0.644898,0.055441,0.778884,0.673876,0.541204,0.604749,0.010000,0.282069,328.278657
24,1.315260,0.716846,1.328802,0.652497,0.055464,0.785145,0.715709,0.511317,0.559928,0.010000,0.282035,328.366651
25,1.305580,0.706531,1.322818,0.660080,0.057359,0.774047,0.651394,0.549211,0.592870,0.010000,0.281924,328.612109
26,1.295988,0.676664,1.303452,0.636762,0.053429,0.793682,0.702334,0.542662,0.586412,0.010000,0.281973,328.754294
27,1.285555,0.689209,1.297904,0.645268,0.055014,0.784861,0.719977,0.524113,0.592113,0.010000,0.281844,328.407711
28,1.277915,0.725392,1.286597,0.635592,0.053003,0.789698,0.733637,0.569705,0.619337,0.010000,0.281973,328.173479
29,1.267403,0.700993,1.282537,0.635841,0.053542,0.793113,0.674445,0.584603,0.608484,0.010000,0.281794,328.734534
